"Año-Mes","Ejercicio","Mes","Código","Nombre Cuenta","Naturaleza","Saldo Anterior","Saldo Final","Δ Saldos","Mov Cargo","Mov Abono","Mov Neto","Diferencia","Abs Diff","Categoría","Pólizas relacionadas"
"2025-12","2025","12","720000100000000000002","INTERESES BANCARIOS A CARGO","deudora","127665.30","137602.67","9937.37","9937.37","137602.67","-127665.30","137602.67","137602.67","Cierre ejercicio (Dic/Ene)","diario#100009 2025-12-05 | diario#3 2025-12-31"
"2026-01","2026","1","720000100000000000002","INTERESES BANCARIOS A CARGO","deudora","137602.67","9742.18","-127860.49","9742.18","0.00","9742.18","-137602.67","137602.67","Cierre ejercicio (Dic/Ene)","diario#100011 2026-01-05"
"2024-12","2024","12","610002700000000000002","RENTA DE LOCALES","deudora","60000.00","121800.00","61800.00","61800.00","121800.00","-60000.00","121800.00","121800.00","Cierre ejercicio (Dic/Ene)","diario#7 2024-12-04 | diario#45 2024-12-31 | diario#4 2024-12-31"
"2025-01","2025","1","610002700000000000002","RENTA DE LOCALES","deudora","121800.00","0.00","-121800.00","0.00","0.00","0.00","-121800.00","121800.00","Cierre ejercicio (Dic/Ene)",""
"2025-12","2025","12","610000200000000000002","ASIMILADOS A SALARIOS","deudora","107211.80","121379.42","14167.62","14167.62","121379.42","-107211.80","121379.42","121379.42","Cierre ejercicio (Dic/Ene)","diario#3 2025-12-31 | diario#100061 2025-12-31"
"2026-01","2026","1","610000200000000000002","ASIMILADOS A SALARIOS","deudora","121379.42","10012.56","-111366.86","10012.56","0.00","10012.56","-121379.42","121379.42","Cierre ejercicio (Dic/Ene)","diario#100062 2026-01-30"
"2023-11","2023","11","112000100100000000003","BANORTE CTA.1226811847","deudora","18118.00","34329.55","16211.55","258592.47","361447.60","-102855.13","119066.68","119066.68","Ajuste manual sin póliza","diario#100001 2023-11-01 | diario#100003 2023-11-03 | diario#100004 2023-11-06 | diario#100005 2023-11-06 | diario#100006 2023-11-06 | diario#100008 2023-11-06 | diario#100009 2023-11-07 | diario#100010 2023-11-07 | diario#100011 2023-11-08 | diario#100012 2023-11-08 | diario#100007 2023-11-06 | diario#100013 2023-11-09 | diario#100014 2023-11-10 | diario#100015 2023-11-13 | diario#100018 2023-11-17 | diario#100020 2023-11-21 | diario#100021 2023-11-21 | diario#100022 2023-11-21 | diario#100023 2023-11-21 | diario#100025 2023-11-21 | diario#100026 2023-11-21 | diario#1 2023-11-03 | diario#2 2023-11-06 | diario#3 2023-11-07 | diario#4 2023-11-08 | diario#5 2023-11-10 | diario#6 2023-11-13 | diario#7 2023-11-14 | diario#8 2023-11-15 | diario#9 2023-11-16 | diario#10 2023-11-17 | diario#11 2023-11-21 | diario#100027 2023-11-22 | diario#100002 2023-11-01 | diario#100016 2023-11-13 | diario#100024 2023-11-21 | diario#100019 2023-11-17 | diario#100029 2023-11-22 | diario#100032 2023-11-27 | diario#100031 2023-11-25 | diario#100028 2023-11-25 | diario#12 2023-11-22 | diario#13 2023-11-23 | diario#14 2023-11-24 | diario#15 2023-11-27 | diario#16 2023-11-28 | diario#17 2023-11-29 | diario#18 2023-11-30 | diario#100033 2023-11-28 | diario#100034 2023-11-28 | diario#100035 2023-11-28 | diario#100030 2023-11-24 | diario#100037 2023-11-30 | diario#100017 2023-11-14 | diario#100036 2023-11-30"
"2025-12","2025","12","610005700000000000002","CESANTIA Y VEJEZ","deudora","97042.41","117484.60","20442.19","20442.19","117484.60","-97042.41","117484.60","117484.60","Cierre ejercicio (Dic/Ene)","diario#54 2025-12-31 | diario#3 2025-12-31"
"2026-01","2026","1","610005700000000000002","CESANTIA Y VEJEZ","deudora","117484.60","0.00","-117484.60","0.00","0.00","0.00","-117484.60","117484.60","Cierre ejercicio (Dic/Ene)",""
"2023-10","2023","10","112000100100000000003","BANORTE CTA.1226811847","deudora","28417.66","18118.00","-10299.66","283959.80","403072.12","-119112.32","108812.66","108812.66","Ajuste manual sin póliza","diario#100001 2023-10-02 | diario#100002 2023-10-09 | diario#100003 2023-10-10 | diario#100005 2023-10-13 | diario#1 2023-10-02 | diario#2 2023-10-03 | diario#3 2023-10-04 | diario#5 2023-10-06 | diario#6 2023-10-09 | diario#7 2023-10-10 | diario#8 2023-10-11 | diario#100008 2023-10-16 | diario#100009 2023-10-16 | diario#100010 2023-10-20 | diario#100011 2023-10-20 | diario#100012 2023-10-20 | diario#100013 2023-10-20 | diario#100014 2023-10-20 | diario#100015 2023-10-20 | diario#100016 2023-10-20 | diario#100017 2023-10-20 | diario#100018 2023-10-23 | diario#100020 2023-10-24 | diario#100021 2023-10-25 | diario#100022 2023-10-25 | diario#100023 2023-10-25 | diario#100024 2023-10-27 | diario#100025 2023-10-27 | diario#100026 2023-10-27 | diario#9 2023-10-12 | egreso#100003 2023-10-31 | diario#10 2023-10-16 | diario#11 2023-10-17 | diario#100004 2023-10-12 | diario#100006 2023-10-16 | diario#100007 2023-10-16 | diario#100019 2023-10-24 | diario#12 2023-10-19 | diario#13 2023-10-23 | diario#14 2023-10-24 | diario#15 2023-10-24 | diario#16 2023-10-25 | diario#17 2023-10-26 | diario#18 2023-10-27 | diario#19 2023-10-30 | diario#100027 2023-10-31 | diario#20 2023-10-31 | diario#100028 2023-10-31"
